,name,category_1,category_2,origin,description
1140,Canlarica Malbece Spallettia Santasello 2004,Red Wine,Other Red Blends,Italy,"Deep ruby-red in color, with violet tones.  Aromas of fresh red fruit with hints of floral and sweet spices.  On the palate it is well-balanced with soft, well-integrated tannins and well-rounded acidity.  Its structure and balance are well-known from the bouquet and the taste.  A suffers from mild, round, ripe tannins and a very good acidity.  It is very pleasant with traditional Tuscan dishes such as pizza, pizza with roasted tomatoes and with meat dishes with soft sauces."
1141,WCAre Sta. Stomank Cabernet Sauvignon 2012,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2012 WCAre Sta. Stomank Cabernet Sauvignon is an elegant, supple wine with black cherry, blackberry, currant and chocolate flavors and a hint of mint, spice and earthiness. The palate is generous and silky with juicy tannins that lead to a long, smooth finish. This wine can be paired with grilled and roasted vegetables, barbequed ribs, grilled vegetables, roasted poultry, eggplant, roasted vegetables, pork chop, fettuccini Alfredo, and roasted vegetables with roastedihilator."
1142,Ravana Chardonnay 2002,White Wine,Chardonnay,Chile,"The wine has an intense golden yellow color with greenish tones. The aromas offer attractive floral aromas of pear and green apple, complemented by subtle notes of toast and butter. The mouthfeel is well-balanced, elegant and velvety with a well-rounded mouthfeel and a pleasant aftertaste.  The overall impression is a pleasant, fresh, well-structured wine with good structure and good acidity.  The flavor of the wine is fresh, fruity and full of ripe fruit."
1143,Calys Bricher Olad R3Stionve Chardonnay 2016,White Wine,Chardonnay,"Alsace, France","A very nice nose with aromas of green apple, banana, citrus, grapefruit, and fresh honey. Medium bodied, it has good intensity with a nice balance between its fresh acidity and a very pleasant mouthfeel. The wine is very round with a good volume, good length, and freshness."
1144,Chateau Pas Mussanca Stutione 2009,Red Wine,Other Red Blends,Chile,"Chateau Pas Mussanca has created a blend of Carmenere, Carmenere Gris, Carmenere Syrah, and Carmenere Tannat. The wine is a deep, intense purple color. The aromas are rich and complex with notes of ripe fruit and spices. It is well-balanced with sweet, soft tannins that are well integrated into the wine. The mouth feel is round and full with well-balanced acidity. The aftertaste is long and well-balanced with good intensity."
1145,"Bigelas Jadr & Baamre C017,Lignas Arbater DEsry-Bolledon Salterraine Granes Chianty Chardonnay 2015",White Wine,Chardonnay,"Rheingau, Germany",The 2015 Jadr & Baamre C017 is a perfect balance between intensity and freshness. It is a wine that is very accessible now and will cellar well for the next 5 to 7 years.
1146,Gomaiuestaine Mondali Malbec Blend 2014,Red Wine,Malbec,"Mendoza, Argentina","This Malbec is an attractive wine with ruby color and aromas of strawberries and cherries. The flavors mirror aromas with sweet fruits like plums, and cherries and blackberries, and well-integrated oak flavors. The wine is well-balanced, soft and elegant, with good rotational intensity and good body."
1147,Boucagas Lada Vents Red Reserve Caballe Melreres Istaze Rose 2015,Pink and Rosé,Rosé,"Colchagua Valley, Rapel Valley, Chile","Pale, intense and bright. Aromas of fresh strawberries, strawberries and raspberries with hints of citrus fruits. Flavors mirror aromas with notes of ripe fruit, like strawberries, strawberries and cherries, with citrus notes. Fresh and clean with a good balance between acidity and sugar. The overall impression is of a lively and refreshing wine. It has a good balance between fruit and sweetness, a good freshness and a good acidity."
1148,Domaiett Vineyards Emarinas Colflay Gelpeugio Pinot Noir 2018,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Eminas Colflay is a lovely and lusciously approachable wine that is well-balanced, well-balanced, and well-made. This wine is 100% Colflay from the Domaiett Estate. The grapes were harvested at the end of October and early November. The grapes were gently whole cluster pressed and immediately racked into temperature-controlled stainless steel tanks for a cold fermentation. The wine was then aged in neutral oak barrels for 9 months before bottling.uvian											 PHP"
1149,Edomes Gosciead Cabernet Sauvignon 1997,Red Wine,Cabernet Sauvignon,"Napa Valley, California","In 1997, the winemaker, Chris Mondavi, had the opportunity to travel to the historic Napa Valley of Napa Valley and to meet the most acclaimed growers in the region. With their help, he was able to create a wine that truly reflects the characteristics of this vineyard site. The result is a wine with ripe, velvety tannins, elegant aromas and flavors of ripe fruit. The result is a wine with complexity, finesse and elegance."
1150,Sayne Sp. Leam Re Flick Russian Rivet Esatates Cabernet Sauvignon 2015,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The 2015 Esatates Cabernet is a dark and lush wine with aromas of black cherry, currants, blackberry, cocoa powder and baking spices. The palate is rich with flavors of cherry, blackberry and blueberry with well-integrated oak and sweet vanilla from barrel aging. The tannins are soft and round and the acidity is well balanced. The finish is long with flavors of dark fruit and spice."
1151,Cloquitt dier Elpettes Reserva Cabelet Pinot Noir 2014,Red Wine,Pinot Noir,"Casablanca Valley, Chile","Pairs well with grilled fish, such as turbot, tuna and sashimi, as well as red and white meat dishes.  fermentation, aged in French oak barrels, barbequed meats and spicy dishes. fashioning a refined wine with finesse and elegance. Ideal with pork, veal and poultry."
1152,Hawn Sonfar Russe Montaria Chardonnay 2012,White Wine,Chardonnay,Chile,"This wine is a golden straw yellow color. It has a very elegant and complex nose, with hints of tropical fruit, pineapple, mango and pineapple. The mouthfeel is round, soft and creamy with a nice touch of acidity., with vanilla, vanilla and citrus flavors.  Its fresh, full-bodied and well-balanced."
1153,Weniltoliy Gourgenvo 2001,White Wine,Other White Blends,France,"This is a wine that offers up a generous, fruity and easy drinking style. The Gouramba vineyards are in the northern part of the Vosne-Romanee appellation, on the border with Alsace. The wine is made from a blend of Chardonnay, Pinot Noir, Riesling and Viognier.  The grapes are hand-harvested and gently pressed. Fermentation takes place in stainless steel tanks. The postpones malo-lactic fermentation for the final product. The wine is then aged in stainless steel and is released as an ungrafted, unfiltered wine."
1154,Cererla IVpmamiteri 2018,Red Wine,Other Red Blends,"Veneto, Italy","An easy-drinking, fun-loving wine with a very good nose and good body. Fresh and fruity, with aromas of cherry and blackberry, a hint of vanilla, toast and spice. A nice fruity palate, balanced and fresh, with good length."
1155,Stellia Caberane Ranchhe Zinfandel 2002,Red Wine,Zinfandel,"Central Coast, California","The nose offers spicy, toasty aromas with vanilla and clove.  The mouthfeel is smooth and rich with ripe, round fruit flavors of cherry and raspberry, and toasty, sweet-spice, oak, vanilla and nutty oak.  The finish is long, spicy, smooth and well-balanced with soft, sweet tannins.  The mouth feel is excellent with pasta dishes, roasted vegetables, or grilled fish."
1156,Feminge Astrench Canmaresco Gigbericolo 2001,Red Wine,Other Red Blends,Italy,"Deep ruby-red correctly identified by its violet hue. Fruity bouquet, well-balanced with intense notes of violet and fruity, round, with a sweet, lingering aftertaste.. Astute, subtle, very well-integrated, full-flavored, with very round and pleasant tannins. Perfect for grilled, roasted, and roasted meat dishes."
1157,Arra Tacaca Shirazza 2011,Red Wine,Syrah/Shiraz,"Central Coast, California","The 2011 Arra Tacacá Shirazza is full of ripe fruit flavors of raspberry, blackberry, and black cherry. The mouth Meter is full of blackberries and cherries with hints of vanilla, mocha, and spices. The finish is rich and lingering with a lingering toastiness and creamy texture. The wine is approachable now and will cellar well for 3 to 5 years."
1158,Domaine Pinkessie Pinogoore Reserve 1993,Red Wine,Pinot Noir,Chile,"This Pinogoore Reserve is a wine with aromas of fresh fruit and spices. The wine is very elegant with smooth, round and well-balanced tannins.  The wine is well-made with a long, pleasing finish.   Itimmigration of the best barrels, the wine is then aged for eight months in French oak, where it is aged for five months before bottling.  The wine is not too approachable now, but will cellar well for up to five years.  We suggest matching well with white meats, grilled fish, pork, veal and pasta dishes with a light cream sauce."
1159,Chateau Facantee Russian Rose 2012,Pink and Rosé,Rosé,"Russian River, Sonoma County, California","Beautiful aromas of fresh strawberry, red currant, and mineral, with a hint of nutmeg and mineral undertones.  The flavors mirror aromas with aromas of fresh strawberry, red currant, and mineral undertones.  This is a medium-bodied, dry rosé, with bright acidity and a creamy mouthfeel."
1160,Chateau Froehe Rosas Riesling Reserva 2015,White Wine,Riesling,Chile,"Pale yellow in color with greenish tones. Fresh aromas of grapefruit, tangerine, involvement and mineral tones. Fresh and juicy with an intense flavor profile and a good acidity.  potential.  apropos of lime and grapefruit flavors, plus a hint of lemon zest, as well as a nice touch of sweetness. Smooth, well-balanced and fresh in the mouth with a persistent finish. A nice balance between sweetness and acidity. Pair with fresh dishes, seafood, white meats, fish, shellfish in cream sauce, and roasted vegetables."
1161,Femmo Crest Chateau Peligu Arbaniere 1997,White Wine,Other White Blends,"Sicily, Italy","Pale straw-yellow color with greenish reflections. Aromas of ripe pear and white peach.  The taste is soft, warm, with rich and ripe fruit flavors and hints of oak.  The wine is full-bodied with a crisp, refreshing finish.  The wine can be paired with seafood, salads, white meats, white cheese."
1162,Stan Grywer Jry Pinot Grigier 2000,White Wine,Pinot Gris/Grigio,"Willamette Valley, Oregon","This wine shows a beautiful pale color with some green highlights. The aromas are very complex with a very intense bouquet of grapefruit, peach, floral tones, vanilla and spices. The flavors mirror aromas with mouth filling flavors of pineapple, citrus, floral tones and mineral tones. The mouthfeel is very well-balanced with good weight and length. The mouth feel is soft, round and medium bodied with excellent structure and acidity.   The mouthfeel is very good now and will cellar well for up to five years.   The wine shows very good quality now and will continue to improve over the next two to three years.  The wine will pair well with most foods."
1163,St. hapato berey Chandonnay 2016,White Wine,Chardonnay,"Central Coast, California","The 2016 Central Coast Chardonnay has an appealing aroma profile with aromas of white flowers and ripe pear. The flavors mirror aromas with ripe pear, citrus, and citrus flavors framed by crisp acidity. The mouthfeel is soft and generous with flavors of fresh pear, citrus, and mineral notes on the finish."
1164,Wiramt Napa Sauzel Oasc Chardonnay 1999,White Wine,Chardonnay,"Napa Valley, California","Aromas of ripe pear and crisp green apple with an aroma of buttery oak, vanilla and vanilla cream.  On the palate, it is medium-bodied with flavors of ripe pear and butter with a long finish.  The wine is well-balanced with a crisp acidity, medium viscosity, and good balance between sweetness and minerality.  The mouthfeel is soft, round, and well-rounded with a lingering impression of vanilla, caramel, and toast.  The wine is an excellent companion for grilled fish, shellfish in cream sauce, light pasta dishes, and lightly sauced dishes."
